Date,Time,SO4,NO3,NH4,OC,EC,CHL,Total,place
20180317,D,5.276739473,2.718982211,2.226300383,9.685687866,1.636274244,0.174285071,24.43438914,南投
20180317,N,,,,,,,,南投
20180318,D,9.844854762,4.778878631,4.256698942,9.435396396,1.84490991,0.410042783,31.56221617,南投
20180318,N,8.448237143,6.859420615,5.189759713,9.545676404,0.394449438,0.980238042,37.10263397,南投
20180319,D,10.8677034,4.363533919,5.07054316,6.776507436,1.766638125,0.108181204,33.8168631,南投
20180319,N,,,,,,,,南投
20180320,D,,,,,,,,南投
20180320,N,,,,,,,,南投
20180321,D,3.331230284,1.926543488,1.452906715,5.990875056,0.897311682,0.132942767,24.65940054,南投
20180321,N,4.270184935,3.49751917,2.570816419,7.572658399,1.662290868,0.4864682,19.84559491,南投
20180322,D,3.467418264,1.534611048,1.58940248,5.996284424,1.241521445,0.109808343,19.25522252,南投
20180322,N,5.329875986,5.991431793,3.95535513,8.680852311,1.266507328,0.684554679,31.74386921,南投
20180323,D,4.508665316,1.040288094,1.523745217,6.204805957,0.818506318,0.055367995,23.66030881,南投
20180323,N,4.710099188,2.319882777,1.80748422,7.175256988,0.976045987,0.194544635,24.29609446,南投
20180324,D,5.833820553,1.412187992,2.058466382,9.159460189,1.263373819,0.115358669,29.42779292,南投
20180324,N,7.45139514,4.349009901,3.806705671,10.69565961,2.081175146,0.231323132,32.83378747,南投
20180325,D,9.743462579,2.36632101,4.292605951,6.89436474,0.973631662,0.172001803,30.29064487,南投
20180325,N,11.09681757,6.632003586,6.527117884,7.96305543,1.529328526,0.883908561,39.78201635,南投
20180326,D,11.47007201,4.022952295,5.540279028,8.673029962,1.634431178,0.196894689,38.32879201,南投
20180326,N,8.891685393,5.963146067,5.400674157,7.300572072,1.370504505,0.657078652,34.83197094,南投
20180327,D,11.73913043,2.722460014,5.009686866,7.74687683,1.528295429,0.191259293,33.65122616,南投
20180327,N,11.2063385,5.554281861,6.275567543,6.606392263,1.737139001,0.902225219,36.33060854,南投
20180328,D,8.547114518,1.101893598,3.316726781,8.550852503,1.609882724,0.111587015,26.38510445,南投
20180328,N,8.951696248,5.444843855,5.208043136,9.261896861,1.757923767,0.540103348,33.56039964,南投
20180329,D,12.78815849,3.504052229,6.021161639,7.910319964,1.845741325,0.179423683,35.24069028,南投
20180329,N,11.6113233,11.42372501,8.140193215,9.985986975,1.892081743,0.779150753,48.41053588,南投
20180330,D,9.61049786,2.6082451,3.988736202,8.371734533,1.316310461,0.181797702,32.1071753,南投
20180330,N,6.844299234,4.017350158,3.822893195,8.981337522,1.733240575,0.268814781,31.38056312,南投
20180331,D,11.71695564,2.108759288,4.653456429,8.539297297,1.423216216,0.146588606,30.38147139,南投
20180331,N,10.04842342,5.147972973,5.022972973,7.724005407,1.107195314,0.748873874,34.33242507,南投
20180312,D,6.043448897,8.428185502,4.936064836,6.669533679,1.792601937,0.429311121,32.40909091,竹山
20180312,N,7.973417436,16.62942104,8.439288128,9.011673047,2.687691961,0.562288804,45.18181818,竹山
20180313,D,6.820126069,8.495722647,5.243133724,6.604906679,1.947263324,0.130346691,32.40909091,竹山
20180313,N,6.730691286,11.77932898,6.394055393,7.762738925,2.341978862,0.223598289,34.22727273,竹山
20180314,D,8.233956316,15.16617879,7.902049088,11.18109263,2.920238309,0.296329655,49.68181818,竹山
20180314,N,6.780153015,8.605760576,5.669216922,11.16231271,2.71159955,0.133663366,38.31818182,竹山
20180315,D,6.761872609,7.125365744,4.679495836,8.831200721,3.084329804,0.163403106,33.54545455,竹山
20180315,N,,,,,,,,竹山
20180316,D,5.108959928,4.327330032,3.251238181,7.692811308,2.257958268,0.130346691,21.81818182,竹山
20180316,N,8.534172662,10.89231115,7.226618705,6.648565012,2.154870874,1.597796763,36.36363636,竹山
20180317,D,7.077252252,7.166666667,4.872522523,7.97383574,1.927450361,0.361711712,30.22727273,竹山
20180317,N,6.413638403,9.731269628,5.374831763,6.797080063,1.653343799,0.755047106,33.40909091,竹山
20180318,D,9.136527215,7.089068826,5.597615834,7.002771654,1.737529809,1.23594242,38.59090909,竹山
20180318,N,11.96832884,10.36455526,8.115678347,8.17090705,2.154387068,1.516172507,40.22727273,竹山
20180319,D,12.05420603,7.573774179,6.585470085,6.619792653,2.1890151,0.201979307,36.13636364,竹山
20180319,N,,,,,,,,竹山
20180320,D,,,,,,,,竹山
20180320,N,,,,,,,,竹山
20180321,D,3.295111512,2.834196891,1.921153413,4.53422843,1.555345799,0.087407074,13.86363636,竹山
20180321,N,3.790198735,4.399051491,2.853432701,5.04989155,1.71854948,0.225158085,19.59090909,竹山
20180322,D,4.764533574,6.576160433,3.784812979,10.14243584,2.502678973,0.138125282,26.72727273,竹山
20180322,N,5.449379932,8.156257046,4.52897407,8.443382187,1.952532131,0.211499436,30.5,竹山
20180323,D,4.537665842,1.122554531,1.766584214,6.186659168,1.869160855,0.040701597,23.68181818,竹山
20180323,N,4.780284232,1.935935033,2.000451162,7.071332582,1.952532131,0.125197383,25.45454545,竹山
20180324,D,5.848730052,2.80939537,2.729377388,6.937840397,1.714675383,0.133737919,27.45454545,竹山
20180324,N,7.012384598,5.291600991,3.893717631,8.725753548,2.056219869,0.162350822,32.68181818,竹山
20180325,D,8.820720721,3.94954955,4.212387387,6.020575152,1.524861829,0.235585586,31,竹山
20180325,N,10.15417511,6.867882062,6.289444069,9.3616,1.840764045,0.385550304,37.59090909,竹山
20180326,D,11.67861976,4.440685611,5.796571944,5.663957677,1.9494552,0.180423996,36.09090909,竹山
20180326,N,10.27671541,8.308211474,6.932058493,9.276456322,2.627891309,0.401349831,41.22727273,竹山
20180327,D,13.0344517,3.723260527,6.128349471,7.745132823,1.923111211,0.162801171,35.81818182,竹山
20180327,N,7.661043635,3.228744939,4.004723347,6.943870533,1.867480333,0.22717049,25.45454545,竹山
20180328,D,8.332208727,1.959964013,3.734817814,8.234154263,1.926580965,0.14080072,27,竹山
20180328,N,9.505279712,5.109638284,5.490676253,6.00707913,1.573907196,0.213210514,30.72727273,竹山
20180329,D,13.10112613,6.334234234,7.121846847,6.976802168,1.95561879,0.33963964,37.86363636,竹山
20180329,N,11.06325707,7.685060565,6.962090624,6.826385461,1.837873009,0.588156124,36.27272727,竹山
20180330,D,9.897637795,3.20832396,4.419572553,7.463750282,2.347257156,0.127559055,29.31818182,竹山
20180330,N,9.930049483,6.465362123,5.972109762,10.32761285,2.601612396,0.249212776,32.81818182,竹山
20180331,D,11.84090909,4.062331233,5.522952295,8.15681931,1.900618092,0.25810081,32.04545455,竹山
20180331,N,10.09389039,3.740790656,4.58490566,NA,NA,0.329514825,28.04545455,竹山
20180312,D,4.563126191,3.62791198,2.392740795,8.108872259,1.529665558,0.120781855,21.95454545,埔里
20180312,N,5.79669616,8.182735066,4.778496004,8.866838512,1.933986958,0.268035881,35.05903724,埔里
20180313,D,6.151244589,4.905753968,3.536556037,6.932900649,1.793827441,0.124158249,28.04545455,埔里
20180313,N,6.994159557,9.340580375,5.781579672,9.153259364,2.06476721,0.219551723,38.46503179,埔里
20180314,D,6.221769938,5.050052766,3.950097995,8.49885629,1.995943523,0.100105533,31.56221617,埔里
20180314,N,7.147572548,8.359999389,5.401671786,11.62826652,3.03772131,0.203395529,42.09090909,埔里
20180315,D,6.009924507,4.871934522,3.72698528,10.73664184,2.780023333,0.154011407,34.19618529,埔里
20180315,N,,,,,,,,埔里
20180316,D,4.122970576,1.532281292,1.946124577,6.503277488,1.613595166,0.083981385,16.68181818,埔里
20180316,N,6.557157997,5.384355465,4.447004254,7.604928806,2.14497992,0.254649895,31.90909091,埔里
20180317,D,6.016341504,1.854563645,2.771537284,8.468910213,1.813609835,0.146285264,26.13636364,埔里
20180317,N,5.01726122,4.373916379,3.037054085,7.579007599,1.727687754,0.228154967,27.77272727,埔里
20180318,D,7.316126856,2.799809839,3.065268065,6.929441118,1.518339079,0.286621273,27.81818182,埔里
20180318,N,9.340920517,5.386443622,5.472218413,8.273868732,1.870894294,0.67370538,36.63636364,埔里
20180319,D,10.87891044,4.174862886,5.360020835,7.703209449,1.816335702,0.156570763,36.31818182,埔里
20180319,N,,,,,,,,埔里
20180320,D,,,,,,,,埔里
20180320,N,,,,,,,,埔里
20180321,D,2.227211632,1.139418377,1.021047165,4.558650333,1.164259617,0.07606305,11.12624886,埔里
20180321,N,3.225379738,1.684532226,1.516976083,4.291130414,1.360207376,0.107193359,16.48501362,埔里
